id;short_description;nom;id_manufacturer;categorie;gencod;upc;minimal_quantity;prix_final;prix_unite;unite;reference;weight;feature[0];feature[1];feature[2];feature[3];feature[4];filename;etat;;;;
58;100% pur jus d'oranges pressées ANDROS La bouteille 1L;100% pur jus d'oranges pressées;919;6261;3,05E+12;112212001;1;15.441300;2.573550;6;938621;9.000000;Conditionnement-La bouteille 1L;Unité par carton-6;NB carton/palette-105;DLV Garantie-35;DLV Théorique-45;centraleachatexport.com/38586-small_default/100-pur-jus-d-oranges-pressees.jpg;1;;;;
59;Verre anchois WINNY Le pot 100g;Verre anchois;920;6261;3,14E+12;112212001;1;43.956000;1.831500;24;521740;2.400000;Conditionnement-Le pot 100g;Unité par carton-24;NB carton/palette-195;DLV Garantie-120;DLV Théorique-180;centraleachatexport.com/34883-small_default/verre-anchois.jpg;1;;;;
60;Jus d'oranges sanguines pressées ANDROS La bouteille 1L;Jus d'oranges sanguines pressées;919;6261;3,05E+12;112212002;1;20.813400;3.468900;6;938761;6.400000;Conditionnement-La bouteille 1L;Unité par carton-6;NB carton/palette-105;DLV Garantie-35;DLV Théorique-40;centraleachatexport.com/22906-small_default/jus-d-oranges-sanguines-pressees.jpg;1;;;;
61;Filets de maquereaux fumés au poivre SIMON La barquette 170g;Filets de maquereaux fumés au poivre;921;6261;3,16E+12;112212002;1;11.008200;2.752050;4;915165;0.680000;Conditionnement-La barquette 170g;Unité par carton-4;NB carton/palette-144;DLV Garantie-16;DLV Théorique-21;centraleachatexport.com/22907-small_default/filets-de-maquereaux-fumes-au-poivre.jpg;1;;;;
62;Jus d'orange sans pulpe ANDROS La bouteille 1L;Jus d'orange sans pulpe;919;6261;3,05E+12;112212003;1;16.066800;2.677800;6;942482;9.000000;Conditionnement-La bouteille 1L;Unité par carton-6;NB carton/palette-105;DLV Garantie-35;DLV Théorique-45;centraleachatexport.com/22908-small_default/jus-d-orange-sans-pulpe.jpg;1;;;;
63;Filets d'anchois allongés à l'huile équilibre LA MONEGASQUE La boîte 32g;Filets d'anchois allongés à l'huile équilibre;922;6261;3,18E+12;112212003;1;33.422400;1.392600;24;521500;7.500000;Conditionnement-La boîte 32g;Unité par carton-24;NB carton/palette-380;DLV Garantie-120;DLV Théorique-300;centraleachatexport.com/22909-small_default/filets-d-anchois-allonges-a-l-huile-equilibre.jpg;1;;;;
64;100% pur jus de clémentines pressées ANDROS La bouteille 1L;100% pur jus de clémentines pressées;919;6261;3,05E+12;112212004;1;15.782400;2.630400;6;938720;9.000000;Conditionnement-La bouteille 1L;Unité par carton-6;NB carton/palette-105;DLV Garantie-35;DLV Théorique-45;centraleachatexport.com/22910-small_default/100-pur-jus-de-clementines-pressees.jpg;1;;;;
65;Filets d'anchois LA MONEGASQUE La boite 50g;Filets d'anchois;922;6261;3,18E+12;112212004;1;33.688800;1.403700;24;521526;7.500000;Conditionnement-La boite 50g;Unité par carton-24;NB carton/palette-380;DLV Garantie-120;DLV Théorique-300;centraleachatexport.com/37493-small_default/filets-d-anchois.jpg;1;;;;
66;Jus d'ananas pressés ANDROS La bouteille 1L;Jus d'ananas pressés;919;6261;3,05E+12;112212005;1;18.899100;3.149850;6;942342;9.000000;Conditionnement-La bouteille 1L;Unité par carton-6;NB carton/palette-105;DLV Garantie-30;DLV Théorique-50;centraleachatexport.com/22911-small_default/jus-d-ananas-presses.jpg;1;;;;
67;Oeufslompe noir DELICEMER La boite 100g;Oeufslompe noir;923;6261;3,76E+12;112212005;1;30.997800;2.583150;12;526665;2.600000;Conditionnement-La boite 100g;Unité par carton-12;NB carton/palette-196;DLV Garantie-150;DLV Théorique-180;centraleachatexport.com/22912-small_default/oeufslompe-noir.jpg;1;;;;
68;Jus de citrons pressés ANDROS La bouteille 1L;Jus de citrons pressés;919;6261;3,05E+12;112212006;1;15.384600;2.564100;6;861245;6.662000;Conditionnement-La bouteille 1L;Unité par carton-6;NB carton/palette-105;DLV Garantie-35;DLV Théorique-45;centraleachatexport.com/22913-small_default/jus-de-citrons-presses.jpg;1;;;;
69;Oeufslompe rouge DELICEMER La boite 100g;Oeufslompe rouge;923;6261;3,76E+12;112212006;1;30.997800;2.583150;12;527226;1.730000;Conditionnement-La boite 100g;Unité par carton-12;NB carton/palette-182;DLV Garantie-100;DLV Théorique-180;centraleachatexport.com/22914-small_default/oeufslompe-rouge.jpg;1;;;;
70;Jus de raisins muscatés pressés ANDROS La bouteille 1L;Jus de raisins muscatés pressés;919;6261;3,05E+12;112212007;1;16.938000;2.823000;6;938688;9.000000;Conditionnement-La bouteille 1L;Unité par carton-6;NB carton/palette-105;DLV Garantie-35;DLV Théorique-45;centraleachatexport.com/22915-small_default/jus-de-raisins-muscates-presses.jpg;1;;;;
71;Oeufs de saumon COMPTOIR DU CAVIAR La boîte 50g;Oeufs de saumon;924;6261;3,76E+12;112212007;1;25.985700;4.330950;6;527325;0.350000;Conditionnement-La boîte 50g;Unité par carton-6;NB carton/palette-520;DLV Garantie-45;DLV Théorique-90;centraleachatexport.com/38270-small_default/oeufs-de-saumon.jpg;1;;;;
72;Jus de pomme bio ANDROS La bouteille 75cl;Jus de pomme bio;919;6271;3,05E+12;112212008;1;16.133400;2.689000;6;841320;4.800000;Conditionnement-La bouteille 75cl;Unité par carton-6;NB carton/palette-150;DLV Garantie-32;DLV Théorique-40;Produits bio-oui;centraleachatexport.com/35786-small_default/jus-de-pomme-bio.jpg;0;;;
