nom_categorie1;nom_categorie2;nom_categorie3;nom;Conditionnement;marque;BF;BIO;upc;reference;gencod;Unite par carton;prix_unite;prix_final;weight;Hauteur ;Longueur ;Largeur ;profondeur;Nb de cartons par couche;Nb de couche par palette;NB carton/palette;DLV Theorique;DLV Garantie;etat
LIQUIDES;Alcools & spiritueux;Les cocktails & liqueurs;Cognac 40°;La boiteille 70cl;HENNESSY;NAT; ;37123230;645267;3245990250203;6;20.1198;120.7188;7.6;27;31;21;0.017577;12;6;72;0;0;1
LIQUIDES;Alcools & spiritueux;Les whisky d'âge & pur malt;Single Malt Scotch Whisky;La bouteille 70cl + ETUI;BOWMORE;NAT; ;37700030;640029;5010496004685;6;10.2632;61.5792;9.9;33;27;18;0.016038;18;5;90;0;0;1
LIQUIDES;Alcools & spiritueux;Les whisky d'âge & pur malt;Single Malt Scotch Whisky;La bouteille 70cl;TALISKER SKYE;NAT; ;37700510;756247;5000281038094;6;17.9557;107.7342;7.9;32;30;20;0.0192;11;5;55;0;0;1
PRODUITS FRAIS;Panification;Les americains;4 pains Burger Création Nature;L'étui 260g;JACQUET;NAT; ;40100220;724021;3029330070054;5;1.1599;5.7995;1.96;24;30;24;0.01728;8;7;56;40;50;1
PRODUITS FRAIS;Panification;Pain de mie;Pain de mie nature L'Original;Le paquet 450g;JACQUET;NAT; ;40100320;660027;3029330001010;8;0.6262;5.0096;2.9;20;28;30;0.0168;8;9;72;10;13;1
PRODUITS FRAIS;Panification;Les americains;Pain de mie Nature;Le paquet 550g;JACQUET;NAT; ;40100660;660068;3029330003403;6;0.862;5.172;3.62;20;40;30;0.024;8;8;64;10;13;1
PRODUITS FRAIS;Panification;Les americains;Pain de mie Complet;Le paquet 550g;JACQUET;NAT; ;40100680;660084;3029330003458;6;0.9041;5.4246;7.1;20;39;30;0.0234;8;8;64;9;11;1
PRODUITS FRAIS;Panification;Les americains;4 pains Burger Géant Nature;Le paquet 330g;JACQUET;NAT; ;40100840;660381;3029330066484;10;0.7883;7.883;2.8;20;39;30;0.0234;8;10;80;42;45;1
PRODUITS FRAIS;Panification;Les allemands;Vollkornbrot (pain complet);Le pain de 500g;JACQUET;NAT; ;40101200;660704;3029330004233;6;1.0589;6.3534;2.8;13;40;30;0.0156;8;15;120;9;11;1
PRODUITS FRAIS;Panification;Pain de mie;36 Toasts ronds Nature;Le sachet 250g;JACQUET;NAT; ;40101460;660787;3029330011040;10;0.922;9.22;2.9;15;40;20;0.012;8;13;104;9;12;1
PRODUITS FRAIS;Panification;Pain de mie;La Boule à la farine Complète;Le sachet 350g;JACQUET;NAT; ;40101540;519488;3029330068273;6;1.1831;7.0986;2.2;14;60;16;0.01344;6;12;72;38;40;1
PRODUITS FRAIS;Panification;Les campagnes;Le Pain spécial à la farine de seigle BON AP';Le paquet 500g;JACQUET;NAT; ;40101550;660928;3029330004240;5;0.9957;4.9785;2.8;15;39;30;0.01755;8;11;88;9;11;1
PRODUITS FRAIS;Panification;Pain de mie;36 Toasts ronds Briochés;Le sachet 250g;JACQUET;NAT; ;40102200;661405;3029330001652;10;0.9694;9.694;2.7;14;40;30;0.0168;8;13;104;15;18;1
PRODUITS FRAIS;Panification;Les americains;Crousti Moelleux Nature;Le sachet 730g;JACQUET;NAT; ;40102350;661504;3029330003526;7;1.1241;7.8687;5.35;14;60;40;0.0336;4;12;48;10;13;1
PRODUITS FRAIS;Panification;Pain de mie;4 Baguettines Viennoise Nature;Le sachet 340g;JACQUET;NAT; ;40102500;530881;3029330067054;8;0.9631;7.7048;2.9;20;28;30;0.0168;8;9;72;17;19;1
PRODUITS FRAIS;Panification;Les autres pains;Baguette précuite ;La baguette 250g;JACQUET;NAT; ;40300060;661884;3029330002406;12;0.5715;6.858;2.34;25;40;24;0.024;10;7;70;25;30;1
PRODUITS SURGELES;Glace detente-specialite;-;"""Extrême"" Conne Vanille";La boite de 4;NESTLÉ;NAT; ;41200780;999300;7613036833929;6;2.2294;13.3764;1.7;12;40;30;0.0144;10;15;150;180;360;1
PRODUITS SURGELES;Glace detente-specialite;-;6 mini glaces à l'eau Pirulo Mix;L'étui 300g;NESTLE;NAT; ;41200790;999326;3274667005341;10;1.7788;17.788;3;15;40;30;0.018;7;10;70;180;360;1
PRODUITS SURGELES;Glace detente-specialite;-;5 glaces à l'eau Pirulo Happy;L'étui 350g;NESTLE;NAT; ;41204200;995167;7613034522146;6;1.601;9.606;2.5;20;26;20;0.0104;16;8;128;180;360;1
PRODUITS SURGELES;Glace detente-specialite;-;10 Bâtonnets Sorbet Multifruits;L'étui 400g;OASIS;NAT; ;41207510;993485;3251512810008;10;1.7262;17.262;4;33;28;23;0.021252;14;5;70;180;360;1
PRODUITS SURGELES;Snacks;-;Pizza Ristorante Piccola Mozzarella;L'étui 2 x 155g;DR OETKER;NAT; ;41457210;590604;4001724834205;5;1.8852;9.426;1.97;18;18;26;0.008424;19;9;171;180;360;1
PRODUITS SURGELES;Snacks;-;Pizza Ristorante Piccola Salame;L'étui 2 x 140g;DR OETKER;NAT; ;41457220;590687;4001724834007;5;1.8852;9.426;1.8;18;18;26;0.008424;19;9;171;180;360;1
PRODUITS SURGELES;Frites-garnitures&purees;-;Churros de pomme de terre Nature;Le sachet 600g;FINDUS;NAT; ;41622010;947325;3599741004967;8;1.9167;15.3336;5.2;25;40;26;0.026;9;7;63;180;360;1
ENTRETIEN;Insecticides;-;6 Stickers Vitres Anti-Mouches;Le paquet;PYREL;NAT; ;41624350;741967;5000204707939;24;2.5862;62.0688;1.1;16;12;22;0.004224;42;4;168;0;0;1
PRODUITS SURGELES;Entrees;-;Tartes du Monde L'Italienne Tomates cerises Mozzarella Pesto;L'étui 370g;MARIE;NAT; ;41800970;941385;3248830000044;6;2.262;13.572;2.8;19;27;27;0.013851;18;6;108;180;360;1
