RAYON;Famille;nom_categorie;upc;reference;gencod;Unite par carton;prix_unite;prix_final;weight;profondeur;Hauteur;Longueur;Largeur;NB carton/palette;Nb de cartons par couche;Nb de couche par palette;DLV Theorique;DLV Garantie;BF;BIO;nom;Conditionnement;marque;etat
LIQUIDES;VINS FINS;GAMME CAVE A VINS;34133360;607085;3292145058160;6;11.9733;71.8399;7.5;0.01104;30;23;16;100;25;4;0;0;NAT; ;Pauillac;La bouteille 75cl;CHÂTEAU LA FLEUR HAUT CARRAS 2016;1
LIQUIDES;VINS FINS;DEMIS BOUTEILLES-1/4 AOP;34133390;636563;3258561340456;12;1.3673;16.4079;8.4;0.011875;25;25;19;90;18;5;0;0;BF; ;Bordeaux rouge;La bouteille 37,5cl;BELLE FRANCE;1
LIQUIDES;VINS ROSES;BORDEAUX ROSES;34133400;636589;3258561340593;6;2.0009;12.0059;7.8;0.01152;30;24;16;100;25;4;0;0;BF; ;Bordeaux rosé;La bouteille 75cl;BELLE FRANCE;1
LIQUIDES;VIN TABLE,PAYS & ETRANGER;GRANDS CONTENANTS;34133410;650481;3258561340043;4;7.2282;28.9128;12.6;0.01617;22;35;21;60;12;5;0;0;BF; ;Bordeaux rouge;Le bag in box 3 litres;BELLE FRANCE;1
LIQUIDES;VINS ROUGES;VINS DU SUD OUEST;34133430;633420;3270250303979;6;2.2557;13.5343;8;0.01716;20;33;26;80;10;8;0;0;NAT; ;Madiran;La bouteille 75cl;LOUSTAU CASAUBON 2014;1
LIQUIDES;VINS ROUGES;VINS DU SUD OUEST;34133450;622605;3270250382554;12;1.7978;21.574;16;0.0414;30;46;30;50;10;5;0;0;NAT; ;Madiran;La bouteille 75cl;LA PETIOTA EGLISE DES VIGNES 2013;#N/A
LIQUIDES;VINS ROUGES;VINS DU SUD OUEST;34133510;649103;3242160104533;6;3.0504;18.3026;10;0.015147;17;33;27;80;10;8;0;0;NAT; ;Cahors;La bouteille 75cl;LE CLOUP DE MADER 2015;#N/A
LIQUIDES;VINS ROUGES;VINS DU SUD OUEST;34133530;649129;3280110220001;6;3.0504;18.3026;10;0.015147;17;33;27;80;10;8;0;0;NAT; ;Fronton;La bouteille 75cl;GRANGE D'ORIAC 2015;1
LIQUIDES;VINS ROUGES;VINS DU SUD OUEST;34133540;622761;3280117083005;6;1.722;10.3323;7.2;0.011904;31;24;16;100;25;4;0;0;NAT; ; ; ; ;#N/A
LIQUIDES;VINS ROUGES;MOULIS;34133730;626887;3660327891117;6;6.4829;38.8977;8;0.011656;8;47;31;80;5;16;0;0;NAT; ;Moulis en Médoc;La bouteille 75cl;L'IMPRESSION DE MAUVESIN BARTON 2011;1
LIQUIDES;VINS ROUGES;HAUT-MEDOC;34133750;624783;3423290177486;6;3.4862;20.9172;7.6;0.01035;30;23;15;100;25;4;0;0;NAT; ;Haut Médoc;La bouteille 75cl;CHÂTEAU BONNEAU 2011;1
LIQUIDES;VINS ROUGES;MEDOC;34133770;625848;3760052370632;6;3.8135;22.8814;7.9;0.01152;30;24;16;100;25;4;0;0;NAT; ;Médoc;La bouteille 75cl;CHATEAU LE VIEUX ROUDEY 2016;#N/A
LIQUIDES;VINS ROUGES;MEDOC;34133790;625905;3423299123453;6;4.1514;24.9087;7.5;0.01035;30;23;15;100;25;4;0;0;NAT; ;Médoc;La bouteille 75cl;CHÂTEAU LE VIEUX SERESTIN 2013;1
LIQUIDES;VINS ROUGES;COTES DE BORDEAUX;34133810;651349;3258561330884;6;2.482;14.8921;7.4;0.01152;30;24;16;100;25;4;0;0;BF; ;Côtes de Blaye rouge;La bouteille 75cl;BELLE FRANCE 2015;#N/A
LIQUIDES;VINS ROUGES;LISTRAC;34133850;615609;3520728712704;6;4.4735;26.8413;7.58;0.01035;30;23;15;100;25;4;0;0;NAT; ; ; ; ;1
LIQUIDES;VINS ROUGES;COTES DU RHONE;34133880;616169;3760088860947;6;3.6504;21.9025;8;0.01326;30;26;17;105;21;5;0;0;NAT; ;Vinsobres Cru des Côtes du Rhône;La bouteille 75cl;-;1
LIQUIDES;VINS ROUGES;BEAUJOLAIS/MACONNAIS;34134040;628842;3436730002972;6;3.1051;18.631;7.5;0.01275;30;25;17;100;20;5;0;0;NAT; ;Beaujolais-Villages;La bouteille 75cl;BEL-AIR 2017;1
LIQUIDES;VINS ROUGES;BEAUJOLAIS/MACONNAIS;34134110;630244;3274030010873;6;1.8852;11.3112;7;0.01008;30;24;14;105;21;5;0;0;NAT; ;Beaujolais;La bouteille 75cl;PLANCHON;#N/A
LIQUIDES;VINS ROUGES;BEAUJOLAIS/MACONNAIS;34134210;616920;3274033451109;6;3.4104;20.4625;7.4;0.01152;30;24;16;105;21;5;0;0;NAT; ;Juliénas;La bouteille 75cl;RESERVE DES 4 CERISIERS 2017;1
LIQUIDES;VINS FINS;GAMME CAVE A VINS;34134340;647966;3760077981851;6;13.0301;78.1808;7.5;0.01152;30;24;16;100;25;4;0;0;NAT; ;Pauillac;La bouteille 75cl;LES DOUVES DE PAUILLAC 2014;1
LIQUIDES;VINS ROUGES;BORDEAUX ROUGE AOP;34134360;655522;3176484042915;6;3.1493;18.8962;8.8;0.015444;18;33;26;80;10;8;0;0;NAT; ;Bordeaux;La bouteille 75cl;CHÂTEAU LANSCADE 2015;1
LIQUIDES;VINS FINS;VIN ISSU DE L'AGRICULTURE BIOLOGIQUE;34134390;624387;3760077989581;6;2.2862;13.7174;7.5;0.011904;31;24;16;100;25;4;0;0;NAT;BIO; ; ; ;1
LIQUIDES;VINS FINS;VIN ISSU DE L'AGRICULTURE BIOLOGIQUE;34134410;648022;3258561345031;6;2.4494;14.6964;7.45;0.011904;31;24;16;100;25;4;0;0;BF;BIO; ; ; ;1
LIQUIDES;VINS ROUGES;HAUT-MEDOC;34134560;653063;3760172715146;6;9.6418;57.8508;7.9;0.01815;11;50;33;80;5;16;0;0;NAT; ;Haut-Médoc;La bouteille 75cl;LE HAUT MEDOC DE LAGRANGE 2014;1
LIQUIDES;VINS ROUGES;BORDEAUX SUPERIEUR;34134570;653089;3522030013067;6;3.0504;18.3026;7.7;0.01104;30;23;16;100;25;4;0;0;NAT; ;Graves de Vayres;La bouteille 75cl;CHÂTEAU ROYAL POMMEYRADE 2015;1
LIQUIDES;VINS ROUGES;SAINT EMILION;34134580;653105;3451201023003;6;4.6745;28.0475;7.9;0.01035;30;23;15;100;25;4;0;0;NAT; ;Saint-Georges Saint-Emilion;La bouteille 75cl;CHÂTEAU MACQUIN 2016;1
LIQUIDES;VINS ROUGES;HAUT-MEDOC;34134910;653428;3182520207538;6;5.2514;31.5085;7.5;0.01104;30;23;16;100;25;4;0;0;NAT; ;Haut-Médoc;La bouteille 75cl;CHÂTEAU LAROZE LABATISSE 2011;1
LIQUIDES;VINS ROUGES;COTES DU RHONE;34134950;653568;3760166761685;6;6.5261;39.1567;8;0.011136;29;24;16;99;11;9;0;0;NAT; ;Gigondas;La bouteille 75cl;LA FONT DES GRIERES 2015;1
LIQUIDES;VINS ROUGES;COTES DU RHONE;34134960;523084;3760088862637;6;9.206;55.2362;16;0.045177;37;37;33;42;6;7;0;0;NAT; ;Vinsobres;Le magnum 1,5 litre;DIAMANT NOIR 2014;1
LIQUIDES;VINS ROUGES;COTES DU RHONE;34135030;653444;3760088861166;6;1.9073;11.4438;8.4;0.01275;30;25;17;105;21;5;0;0;NAT; ;Côtes du Rhône rouge Sélection Vieilles Vignes 2014;La bouteille 75cl;-;1
LIQUIDES;VINS FINS;VIN SANS SULFITES;34135110;625541;3507110017159;6;3.2683;19.6099;8.5;0.011136;29;24;16;105;21;5;0;0;NAT; ;Anjou Sans Sulfites Ajoutés;La bouteille 75cl;PUR CEP 2017;1
LIQUIDES;VINS FINS;VIN ISSU DE L'AGRICULTURE BIOLOGIQUE;34135140;650424;3149070033635;6;3.323;19.9383;7;0.011904;31;24;16;105;21;5;0;0;NAT;BIO;Anjou rouge BIO;La bouteille 75cl;TÊTE DE LINOTTE 2016;1
LIQUIDES;VINS FINS;GAMME CAVE A VINS;34135180;626283;3423290168453;6;7.0818;42.4913;7;0.01035;30;23;15;100;25;4;0;0;NAT; ;Saint-Estèphe;La bouteille 75cl;MARQUIS 2016;#N/A
LIQUIDES;VIN TABLE,PAYS & ETRANGER;GRANDS CONTENANTS;34135230;658625;3258561340494;4;7.0766;28.3065;12.9;0.01617;22;35;21;55;11;5;0;0;BF; ;Côtes du Rhône rouge;Le bag in box 3 litres;BELLE FRANCE;1
LIQUIDES;VINS ROUGES;MOULIS;34135630;658526;3433330056770;6;4.903;29.418;7.5;0.01152;30;24;16;100;25;4;0;0;NAT; ; ; ; ;#N/A
LIQUIDES;VINS ROUGES;SAINT EMILION;34135640;635888;3760099502881;6;5.6114;33.6684;3;0.01035;30;23;15;100;25;4;0;0;NAT; ;Saint-Emilion grand cru;La bouteille 75cl;CHÂTEAU BELLEVUE FIGEAC 2011;1
LIQUIDES;VINS ROUGES;BORDEAUX SUPERIEUR;34135690;658484;3423290194315;6;2.1251;12.7511;7.01;0.0099;30;22;15;100;25;4;0;0;NAT; ;Bordeaux supérieur;La bouteille 75cl;ROC DU BEL AIR 2014;1
LIQUIDES;VINS ROUGES;BORDEAUX ROUGE AOP;34135800;655365;3700898215407;6;1.9504;11.7028;7.5;0.01035;30;23;15;100;25;4;0;0;NAT; ;Bordeaux;La bouteille 75cl;CHÂTEAU DU TERTRE 2016;1
LIQUIDES;VINS ROUGES;HAUT-MEDOC;34135820;656488;3295890196101;6;6.5261;39.1567;8.2;0.01224;17;30;24;80;10;8;0;0;NAT; ;Haut-Médoc;La bouteille 75cl;CLEMENT-PICHON 2011;1
LIQUIDES;VINS ROUGES;SAINT EMILION;34135890;657262;3303292402741;6;3.6862;22.1172;7.5;0.01035;30;23;15;100;25;4;0;0;NAT; ;Montagne Saint-Emilion;La bouteille 75cl;CHATEAU MARTIN 2013;1
LIQUIDES;VINS ROUGES;COTES DU RHONE;34136030;636084;3258561340500;6;2.4515;14.709;8;0.0119;28;25;17;100;20;5;0;0;BF; ;Côtes du Rhône Villages 2016;La bouteille 75cl;BELLE FRANCE;#N/A
LIQUIDES;VINS FINS;GAMME CAVE A VINS;34136090;607127;3760063163643;6;13.6185;81.7112;10;0.0152;19;40;20;100;25;4;0;0;NAT; ;Moulis;La bouteille 75cl;CHÂTEAU MAUCAILLOU 2013;1
LIQUIDES;VINS FINS;DEMIS BOUTEILLES-1/4 AOP;34136120;654723;3258561329970;12;2.1451;25.7423;8;0.016588;26;29;22;70;14;5;0;0;BF; ;Saumur Champigny rouge Les Jardins du Roy;La bouteille 37,5cl;BELLE FRANCE;1
LIQUIDES;VINS ROUGES;VAL DE LOIRE ROUGE;34136130;654483;3258561329956;6;3.3104;19.8625;7.8;0.013175;31;25;17;105;21;5;0;0;BF; ;Saumur Champigny 2016;La bouteille 75cl;BELLE FRANCE;1
LIQUIDES;VINS FINS;VIN ISSU DE L'AGRICULTURE BIOLOGIQUE;34136390;652586;3380330004051;6;2.3967;14.3806;7.5;0.01104;30;23;16;100;25;4;0;0;NAT;BIO;Bergerac rouge BIO;La bouteille 75cl;CHÂTEAU LES PEYROULETS 2016;1
LIQUIDES;VINS FINS;VIN ISSU DE L'AGRICULTURE BIOLOGIQUE;34136400;624809;3251091314836;6;4.0314;24.1887;7.5;0.01152;30;24;16;100;25;4;0;0;NAT;BIO;Puisseguin Saint Emilion BIO;La bouteille 75cl;CHÂTEAU GUILLOTIN 2012;1
LIQUIDES;VINS ROUGES;COTES DE BORDEAUX;34136460;654020;3760195798683;6;2.6693;16.0163;7.5;0.01035;30;23;15;100;25;4;0;0;NAT; ;Bordeaux Côtes de Blayes;La bouteille 75cl;CHATEAU PUY BENEY LAFITTE 2016;1
LIQUIDES;VINS ROUGES;COTES DE BORDEAUX;34136470;652461;3760077989048;6;2.4515;14.709;7.5;0.01104;30;23;16;100;25;4;0;0;NAT; ; ; ; ;1
LIQUIDES;VINS ROUGES;COTES DE BORDEAUX;34136570;654087;3561070013309;6;2.3967;14.3806;7.2;0.01035;15;30;23;96;12;8;0;0;NAT; ;Côtes de Bourg;La bouteille 75cl;CHÂTEAU DES TROIS MOULINS 2014;1
LIQUIDES;VINS ROUGES;LALANDE / POMEROL;34136610;648766;3295890210845;6;5.4366;32.62;7.9;0.01035;30;23;15;100;25;4;0;0;NAT; ; ; ; ;1
LIQUIDES;VINS ROUGES;LALANDE / POMEROL;34136620;635227;3303292505671;6;4.5756;27.4539;7.9;0.01035;30;23;15;100;25;4;0;0;NAT; ; ; ; ;1
LIQUIDES;VINS ROUGES;COTES DE BORDEAUX;34136650;649244;3295890210548;6;2.7241;16.3447;8;0.01035;30;23;15;100;25;4;0;0;NAT; ;Côtes de Bourg;La bouteille 75cl;CHÂTEAU BIDOU 2015;1
LIQUIDES;VINS ROUGES;VAL DE LOIRE ROUGE;34136660;635508;3260570000122;6;3.4862;20.9172;8.5;0.01152;30;24;16;105;21;5;0;0;NAT; ;Saint Nicolas de Bourgueil;La bouteille 75cl;LA CHEVALLERIE;1
LIQUIDES;VINS ROUGES;VAL DE LOIRE ROUGE;34136680;635540;3349130150238;6;4.1398;24.8392;8.5;0.01152;30;24;16;105;21;5;0;0;NAT; ;Saint Nicolas de Bourgueil;La bouteille 75cl;LA CHEVALLERIE;1
LIQUIDES;VINS ROUGES;COTES DU RHONE;34136770;717868;3120581098825;12;2.3062;27.6749;14.4;0.02475;30;33;25;50;10;5;0;0;NAT; ;Côtes du Rhône;La bouteille 75cl;PONT DU RHÔNE CLERGET 2017;1
LIQUIDES;VINS ROUGES;BOURGOGNE ROUGE;34136880;649343;3267681711152;6;10.2407;61.4444;7.5;0.01275;30;25;17;100;20;5;0;0;NAT; ;Santenay;La bouteille 75cl;LEVERT FRERES 2015;1
LIQUIDES;VINS ROUGES;COTES DU RHONE;34136900;626366;3179071000978;6;2.3315;13.989;7.65;0.013224;24;29;19;96;16;6;0;0;NAT; ;Côtes du Rhône;La bouteille 75cl;CELLIER DES DAUPHINS 2016;1
LIQUIDES;VINS ROUGES;COTES DU RHONE;34136930;648949;3234783103932;6;7.0387;42.2324;8.4;0.012325;29;25;17;80;16;5;0;0;NAT; ;Crozes Hermitage Sélection Première;La bouteille 75cl;CAVE DE TAIN 2016;1
LIQUIDES;VINS ROUGES;VAL DE LOIRE ROUGE;34136980;626549;3257731110301;6;2.7241;16.3447;7.5;0.01326;30;26;17;105;21;5;0;0;NAT; ;SAINT-POURCAIN rouge;La bouteille 75cl;-;#N/A
LIQUIDES;VINS ROUGES;COTES DU RHONE;34137040;646828;3179071000107;6;2.782;16.6921;7.65;0.015;25;30;20;96;16;6;0;0;NAT; ;Côtes du Rhône Villages;La bouteille 75cl;CELLIER DES DAUPHINS 2016;#N/A
LIQUIDES;VINS FINS;GAMME CAVE A VINS;34137050;623827;3760144821646;6;10.6986;64.1917;7.5;0.01152;30;24;16;100;25;4;0;0;NAT; ;Saint-Emilion Grand Cru;La bouteille 75cl;TOURNELLE DU PIN FIGEAC 2014;1
LIQUIDES;VINS FINS;VIN ISSU DE L'AGRICULTURE BIOLOGIQUE;34137210;620047;3380330001975;6;3.3777;20.2667;7;0.01035;30;23;15;105;21;5;0;0;NAT;BIO;Castillon Côtes de Bordeaux BIO;La bouteille 75cl;CHÂTEAU DE PRADE 2016;1
LIQUIDES;VINS ROUGES;VINS DU SUD OUEST;34137290;651125;3433330060173;6;2.2336;13.4017;8;0.01716;20;33;26;80;10;8;0;0;NAT; ;Madiran;La bouteille 75cl;LOUSTAU CASAUBON 2014;1
