reference;Unite par carton;prix_unite;prix_final;weight;volume;NB carton/palette;DLV Theorique;DLV Garantie
32300;12;1.0915;13.098;3;0.00684;120;240;120
30528;24;0.4905;11.772;4.6;0.01512;96;270;120
30544;24;0.4905;11.772;4.6;0.01512;96;277;120
31344;24;0.4905;11.772;4.6;0.01512;96;300;120
41863;14;1.2389;17.3446;3.1;0.0138;60;300;120
144642;16;2.1641;34.6256;4.9;0.0234;66;150;120
144683;16;1.4157;22.6512;2.83;0.020358;72;150;120
31104;14;0.982;13.748;1.75;0.013225;60;240;120
41988;18;1.1504;20.7072;2;0.013225;60;270;120
42580;12;0.9936;11.9232;2;0.013225;60;270;120
44149;24;0.6894;16.5456;6;0.0408;48;70;40
14209;25;0.9736;24.34;9.4;0.045084;18;210;120
14225;6;1.9915;11.949;4.15;0.017328;42;210;120
13342;16;1.2631;20.2096;3.57;0.01728;54;210;120
13300;24;1.042;25.008;7.57;0.026796;35;270;120
13268;24;1.0536;25.2864;7.57;0.026796;35;270;120
14126;16;1.462;23.392;5.37;0.02576;32;210;120
14308;18;0.9768;17.5824;5.8;0.0192;50;210;120
14340;18;0.9662;17.3916;4;0.0192;50;270;120
14381;18;0.9662;17.3916;5.84;0.02016;50;270;120
14589;18;1.0062;18.1116;3.11;0.019684;40;240;120
13409;24;1.0536;25.2864;8.08;0.02835;35;270;90
13383;12;1.5652;18.7824;5.6;0.03042;30;180;120
13748;24;0.9915;23.796;6.9;0.019266;45;270;120
13805;24;0.9947;23.8728;8.077;0.02835;35;180;90
13821;24;1.0536;25.2864;8.077;0.02835;35;180;90
13441;24;1.0536;25.2864;8.077;0.02835;35;210;120
15909;18;0.7115;12.807;6.27;0.01596;60;240;120
23481;8;1.4778;11.8224;8.06;0.029295;30;360;180
26765;12;0.6778;8.1336;3.97;0.01794;60;300;120
32722;24;0.541;12.984;3.95;0.011232;56;180;90
26781;12;0.6705;8.046;3.97;0.016146;60;330;120
26807;12;0.6715;8.058;3.97;0.016146;60;330;120
